stock_id,stock_regime,cv_mean_qlike,cv_std_qlike,cv_mean_alpha,n_folds
10,liquid,-6.4061446084664535,0.00913216804294268,0.714,5
13,liquid,-6.803855533199427,0.024046166216654286,0.908,5
20,liquid,-6.567117574485377,0.024282053877880044,0.952,5
28,liquid,-6.653819670777027,0.04056741998521652,0.736,5
39,liquid,-6.6898723973164085,0.014259459116806556,0.8720000000000001,5
46,liquid,-7.043674967944044,0.015469114093640069,0.7879999999999999,5
47,liquid,-6.900446075354805,0.027273870518821297,0.568,5
50,liquid,-6.406350756735027,0.02151027413989748,0.8160000000000001,5
51,liquid,-6.72193105503658,0.020362512910030734,0.71,5
52,liquid,-6.523363436952477,0.031543743556767964,0.6980000000000001,5
64,liquid,-6.7866501894581805,0.006859280196457712,0.5640000000000001,5
68,liquid,-6.599957074050913,0.014767964357142805,0.78,5
69,liquid,-6.734871360052051,0.018932983739757006,0.5820000000000001,5
77,liquid,-1.11739854709739,9.357263446773269,0.51,5
85,liquid,-4.330546691553591,5.006930586507239,0.6839999999999999,5
86,liquid,-6.6705173918273974,0.026244031156309185,0.764,5
95,liquid,-6.506250809170405,0.01585908044304259,0.74,5
99,liquid,-6.776168905435901,0.01701436203913453,0.694,5
120,liquid,-6.599011578976591,0.02677261714321866,0.68,5
124,liquid,-6.215525435840037,0.015031986836559277,0.9279999999999999,5
7,mixed,107.4845258615527,190.94609019899283,0.788,5
19,mixed,12.058078290122383,39.5092085209447,0.9279999999999999,5
21,mixed,-5.478892478198093,3.015352517153673,0.6599999999999999,5
26,mixed,-6.499583759533609,0.09968233979845693,0.86,5
32,mixed,-6.657047718667906,0.012450712037650732,0.5660000000000001,5
42,mixed,-6.472231559257634,0.03013132166568394,0.632,5
48,mixed,2.3411566245152238,19.701710058097536,0.688,5
59,mixed,-6.382430295057649,0.022667947377790095,0.8019999999999999,5
61,mixed,-6.200671241691602,0.010247615090246322,0.724,5
70,mixed,37.26144690010957,96.77890346468723,0.96,5
73,mixed,-6.195923497909788,0.020282385582620445,0.6779999999999999,5
76,mixed,-6.165533249736745,0.014174944962562367,0.36,5
82,mixed,-6.5425385872190756,0.027234105777215026,0.756,5
89,mixed,-4.182460193308762,3.3221607019351223,0.6060000000000001,5
96,mixed,-6.075880627420334,0.018062724968122418,0.702,5
101,mixed,-6.1977326622731175,0.021118572698435253,0.7380000000000001,5
107,mixed,-6.615980281253594,0.02696590433548342,0.624,5
113,mixed,-1.1217864321293582,11.367607355823887,0.7979999999999998,5
114,mixed,-1.6683651887367532,10.211761808878839,0.8200000000000001,5
115,mixed,-6.657960013356048,0.042308669547028006,0.7959999999999999,5
0,illiquid,181.57977131446873,373.40559370212304,0.56,5
3,illiquid,-4.490032297614209,2.8739452807139814,0.72,5
4,illiquid,-1.8558836712681939,4.225712483505703,0.882,5
6,illiquid,13.308181925951857,29.393643888258552,0.6439999999999999,5
9,illiquid,5.45565562730602,15.617432819728908,0.6799999999999999,5
23,illiquid,2.4872079412340637,10.897353721562702,0.548,5
30,illiquid,21.927700649600048,27.652584454761172,0.62,5
37,illiquid,134.88629462895392,118.21775967644362,0.5640000000000001,5
38,illiquid,15.339938389610438,23.483049093708086,0.594,5
40,illiquid,0.8309567136516345,9.357445620910163,0.546,5
60,illiquid,43.009246905875656,85.51671164856981,0.8640000000000001,5
80,illiquid,12.829408847706693,17.6171092057432,0.85,5
81,illiquid,2.113252235274902,8.183301327963404,0.6779999999999999,5
88,illiquid,52.47675102426774,116.7266063502031,0.79,5
97,illiquid,18.230973208988935,53.676801363911466,0.7540000000000001,5
98,illiquid,77.56897679261323,134.77643899463547,0.7379999999999999,5
102,illiquid,16.66372012705487,24.703552962421163,0.642,5
103,illiquid,22.991387669847516,44.558233370159506,0.49400000000000005,5
112,illiquid,14.826606464905177,18.817496796371625,0.5700000000000001,5
118,illiquid,-6.142848212745895,0.017684812287745974,0.702,5
