fold,num_time_ids,mean_QLIKE,median_QLIKE,mean_MSE,median_MSE,mean_spread
1,766,0.04000767913024845,0.015162196082340373,8.359161193129853e-08,2.072935545353794e-08,0.0007309101516980173
2,766,0.044226072829175844,0.018704855218485195,9.099825842901789e-08,1.9906280123284434e-08,0.0007043450897012075
3,766,0.04167071549996899,0.014912134864735527,8.337538950556927e-08,1.8921230024819506e-08,0.0007263847098275674
4,766,0.03999917702368086,0.01677372638617758,7.069287615577301e-08,1.987127253162957e-08,0.0007322173726462025
5,766,0.04655792424202998,0.018976925302158776,9.299658689464189e-08,2.1605030645061326e-08,0.0007051737327069341
