time_id,AIC,BIC,converged,quality_ok,gamma,delta,beta
5,3.0968613621084753,8.053212769823945,True,True,-0.19820280717468977,1.0981315610905082,0.4374808177141179
11,-6.5245259076816815,-1.5681744999662115,True,False,,,
16,-15.646347801534056,-10.689996393818586,True,True,-1.0816032446969832,0.7211000311733091,2.2277995315148977e-18
31,210.19398474278836,215.15033615050382,True,False,,,
62,91.129205030831,96.08555643854648,True,False,,,
72,26.059750846527425,31.016102254242895,True,False,,,
97,26.701233110590824,31.657584518306294,True,True,2.3022393848407923,-1.3632110995983697,4.1090290393640245e-11
103,38.83544118667825,43.79179259439372,True,True,0.48481393650836085,0.7495189842409093,2.904154153287556e-17
109,4.7610254928479065,9.717376900563377,True,True,-0.9919392183439896,-4.878101376814411,0.7789983912267837
123,-32.306697924625844,-27.350346516910374,True,True,4.76299565281773,3.187966773578691,0.7756081643072668
128,,,False,False,,,
146,28.075734805021966,33.03208621273744,True,True,0.5495436246856386,-1.1379853562610902,0.14713178773740634
147,,,False,False,,,
152,15.055359853057322,20.011711260772792,True,False,,,
157,,,False,False,,,
159,-15.23812837723574,-10.28177696952027,True,True,-0.9127955253917168,1.736504444121089,0.07283067865334694
169,199.07630426258066,204.03265567029612,True,False,,,
207,13.265617966630288,18.221969374345758,True,True,-0.33143281929513513,-1.1553708473017996,0.293400799314107
211,7.9334221666312414,12.889773574346712,True,False,,,
213,-5.23676693847284,-0.28041553075737014,True,True,1.3259588391301835,-0.7160804233185304,0.7436875867039178
218,-9.192185830472763,-4.235834422757293,True,True,0.9144624231965601,-1.480205728174659,0.270601543024115
227,265.43505231665773,270.3914037243732,True,False,,,
229,,,False,False,,,
232,,,False,False,,,
250,-4.918942690730685,0.03740871698478543,True,True,-2.133165212265753,0.5424300091258972,0.37610689014490817
254,238.47671199059891,243.43306339831437,True,False,,,
256,-26.60643225468086,-21.65008084696539,True,True,2.724977483565439,2.681699475529889,0.7509947710599797
266,24.493375389463328,29.449726797178798,True,True,-0.11753915464170693,1.7625755466163666,0.6937425829353345
273,-8.626244448195727,-3.6698930404802574,True,True,-0.3067648887682017,0.7308923314273216,0.007821728178446175
289,-0.09726270420592975,4.85908870350954,True,True,3.1963580512344514,-4.792544455058805,0.07423194264089225
297,-17.92074257499345,-12.96439116727798,True,True,-0.7553871251741101,0.9323594509105828,0.30343122232777586
303,18.451108810857292,23.407460218572762,True,True,0.32353814828536437,3.0735100873051704,0.5994937383342941
309,189.06519094375753,194.021542351473,True,False,,,
310,236.67276075046556,241.62911215818102,True,False,,,
317,,,False,False,,,
319,,,False,False,,,
325,-16.9463803677237,-11.990028960008232,True,True,1.2024931483675354,0.703177142222056,0.0029950419870817826
326,53.13301104308677,58.08936245080224,True,False,,,
335,17.681385360382677,22.637736768098147,True,True,-0.8927736964200901,3.373924976138351,0.10897293350191051
337,-22.651893307344906,-17.695541899629436,True,True,-2.3424468168437,1.4139531188874683,0.2760133950694844
358,23.969615129886876,28.92596653760235,True,True,-0.9865044382616664,-3.1847274454791803,9.733859026782724e-06
371,-1.177696947962236,3.778654459753234,True,True,0.6382574543721065,0.38638260053334833,0.06908953107731146
373,34.62637426685168,39.58272567456714,True,False,,,
380,-4.597566461763968,0.358784945951502,True,True,-0.551778049208605,-0.6384375353126118,1.0544590974383937e-15
381,164.8004547091592,169.75680611687466,True,False,,,
411,-11.284799547295378,-6.328448139579908,True,True,-0.6511841367448089,0.3381372621276099,0.03726784498502189
420,1.3851024330317365,6.3414538407472065,True,True,-1.7093839547108427,0.3904206186635188,0.01044032126923776
424,167.3715333114221,172.32788471913756,True,False,,,
427,27.904862616172622,32.861214023888095,True,True,-1.0294982407934148,-1.3437766490561727,0.3590952332152196
436,99.67378257637436,104.63013398408984,True,False,,,
438,0.4616895634227731,5.418040971138243,True,True,-0.5125831346691643,-2.911902584090318,0.22455544091670426
454,-3.737211831883858,1.219139575831612,True,True,-1.6271402804477444,0.3771921146956447,0.9105560813346737
465,-16.820725916059857,-11.864374508344387,True,True,1.573319216604584,0.8538508692239787,0.10694056929348139
468,-10.392562810006453,-5.436211402290983,True,True,-1.5698190364724234,1.1388740590814956,2.851374009106812e-09
487,31.392299624061142,36.34865103177661,True,True,3.9859947103729807,-1.3789249790540263,0.033478841129591125
493,1035967.0220486409,1035971.9784000486,True,False,,,
506,20.086634078412395,25.042985486127865,True,True,0.32398765215081204,-1.5272906749207642,0.8337074940950644
535,-20.239831126100867,-15.283479718385397,True,True,0.27634228581405973,-1.9322976527355904,0.569673727581413
536,16.34468362844662,21.30103503616209,True,True,-0.7665892053898375,0.559819309535203,0.1984856117792516
539,-15.348502918998275,-10.392151511282805,True,True,-0.24774823889469566,-1.7038683647405544,0.0946325766932115
545,18.868326176705605,23.824677584421075,True,True,-0.2956290973624613,1.461925446001187,0.005411068323947269
554,-24.22658318393505,-19.27023177621958,True,True,3.4353788809870993,2.2922897996038434,0.259823249946267
568,-1.000315674491219,3.956035733224251,True,True,-0.28921700741431877,-1.5776721474221191,0.018827560679791466
579,15.517419741727563,20.47377114944303,True,True,-4.466062951946325,1.894320722980675,0.18775405125138636
589,35.24389829059453,40.20024969831,True,False,,,
591,160.83958365813572,165.79593506585118,True,False,,,
595,-41.56259851736897,-36.606247109653495,True,True,0.43607177824309346,3.50802045698885,0.06759026131257011
611,,,False,False,,,
618,24.83360561001397,29.78995701772944,True,True,0.8155282864300748,-1.8593575352664224,0.19364904358343177
627,-26.009708554799218,-21.053357147083748,True,True,-1.7544552045222326,1.2813875391301757,0.07044148976600471
633,0.5920614793828225,5.5484128870982925,True,True,0.35060921561608427,-0.4400643215179029,0.10312929213107985
640,30.486136424237532,35.442487831953,True,True,0.7000203751864492,-2.0461827248851443,0.9307731413668318
646,-8.15255462185096,-3.1962032141354904,True,True,0.7789139465522447,-0.13291742730129621,0.08040980427850833
650,-17.677417782842625,-12.721066375127155,True,True,3.1378811910299835,-1.6303853314871757,1.3460650556361612e-11
