time_id,AIC,BIC,converged,stationary,alpha,beta
5,13.49162352729321,17.03187453280426,True,True,0.9233141591993212,0.0
11,0.5539907002637072,4.094241705774758,True,False,2.859959527431349e-15,1.0
16,2.4444651183950663,5.984716123906117,True,False,0.0,1.0
31,29.384241700991378,32.92449270650243,True,False,0.0,1.0
62,17.33991855724402,20.88016956275507,True,True,4.352562550488963e-15,0.9800745979747588
72,40.955127647323536,44.49537865283459,True,True,2.29538988286941e-14,0.8797798899374845
97,47.2502488187295,50.790499824240555,True,True,0.0,0.8123538245848673
103,37.3797343417548,40.91998534726584,True,True,5.907271504371467e-14,0.9049349238472846
109,6.689970039380974,10.230221044892025,True,True,0.0,0.55958966435563
123,-1.8302260948570606,1.7100249106539902,True,False,0.9999999982399852,6.438960306006686e-10
128,18.626303439008748,22.166554444519797,True,True,0.0,0.4509283684205046
146,32.76950913615424,36.30976014166529,True,True,0.0,0.7943169274008508
147,13.150417268952062,16.69066827446311,True,False,0.0,1.0
152,27.14790460697403,30.688155612485083,True,True,2.2571526470371607e-14,0.883560502084142
157,9.832604898663645,13.372855904174695,True,False,0.999999999999992,1.0457558322194103e-14
159,-4.703456431118202,-1.163205425607151,True,True,0.07010132833475302,8.13812534531501e-12
169,17.508204581544952,21.048455587056004,True,False,2.56451987746399e-15,1.0
207,24.56475363820197,28.10500464371302,True,True,0.834172686497551,0.0
211,9.103303292271072,12.643554297782122,True,True,5.764726602546343e-15,0.8457335724746112
213,1.0302645151740926,4.570515520685143,True,True,0.061570275734239475,0.7893740582074183
218,-6.012053923065142,-2.4718029175540916,True,True,1.1166636852403474e-15,0.0
227,30.890823079654332,34.431074085165385,True,False,0.0,1.0
229,-1.2690316049450665,2.2712194005659843,True,False,1.0524621091120795e-13,0.9999999999851737
232,7.125743834380625,10.665994839891676,True,True,0.0,0.881766875356688
250,0.8671753216617937,4.407426327172844,True,True,1.1874806904652856e-14,0.7055150861040955
254,55.58709786011925,59.1273488656303,True,True,8.009578644024247e-14,0.8316154916175927
256,-6.501491758656179,-2.9612407531451286,True,True,0.0,0.825950344551218
266,28.35495429132058,31.895205296831634,True,True,0.0,0.6432591277939198
273,-4.238376264193043,-0.6981252586819924,True,True,0.0,0.9518665844872576
289,12.034284105254319,15.574535110765368,True,True,0.0,0.15416649124384654
297,-9.537451596106798,-5.997200590595748,True,False,2.964676801409194e-15,0.9999999999999317
303,23.682214737886014,27.222465743397063,True,True,3.952818631443303e-15,0.7315289591689778
309,4.901162107928597,8.441413113439648,True,True,0.0,0.973958846861306
310,54.363790147155136,57.90404115266619,True,True,1.0687637726818094e-16,0.40443964525225196
317,-2.591615704245889,0.9486353012651616,True,True,5.1011193626275e-15,0.9679043758936186
319,23.21008968168467,26.75034068719572,True,True,8.144150106638371e-16,0.6817114931890762
325,-1.8908411693271816,1.6494098361838692,True,True,2.6454811135817604e-12,0.8043237535999327
326,45.880592151896565,49.42084315740762,True,True,0.0,8.043069341929041e-08
335,27.23110773158877,30.771358737099824,True,False,5.441271947117483e-14,0.9999999999999502
337,-1.5171291047213185,2.0231219007897323,True,True,0.0,0.8911942654445936
358,30.90989863406604,34.45014963957709,True,True,0.0,0.9788078436973858
371,6.8273170030565895,10.367568008567641,True,True,1.3572152433697117e-15,0.975488600961959
373,42.0329947197266,45.573245725237655,True,False,4.578153171495546e-15,0.9999999999999964
380,10.891655139917733,14.431906145428783,True,True,0.0,0.38926678097877915
381,-6.362719461849103,-2.8224684563380524,True,True,6.89897991900577e-14,0.985476241020062
411,2.007848794380621,5.548099799891672,True,True,1.155066888258633e-12,0.862342087641201
420,19.004870237332078,22.54512124284313,True,True,0.0,0.966508726338212
424,13.034830820622084,16.575081826133136,True,True,0.0,0.4563126599869447
427,43.47954302798402,47.019794033495074,True,True,0.0,0.979897629348665
436,-7.368431573476485,-3.8281805679654344,True,True,0.36143334726722226,0.102211638521935
438,1.8264020632472437,5.3666530687582945,True,False,1.0,0.0
454,-0.37575988930015924,3.1644911162108915,True,True,0.23305803054892216,4.603285984779738e-13
465,-0.17656749297199603,3.3636835125390547,True,True,0.0,4.9652053907885234e-14
468,7.422914272066267,10.963165277577318,True,False,0.0,1.0
487,41.53632858514506,45.07657959065611,True,True,6.849722107150953e-17,0.6711179004066862
493,3.5640866418797454,7.104337647390796,True,True,0.6839314652408343,9.69570550886372e-12
506,24.102257384020284,27.642508389531333,True,False,1.0,0.0
535,-6.826596191357833,-3.2863451858467823,True,True,0.0,0.96469797114998
536,31.319198674170455,34.859449679681504,True,True,5.209240684112223e-09,0.9679104441958547
539,-4.950443015192441,-1.4101920096813902,True,True,0.0,0.0
545,26.04781615680883,29.58806716231988,True,False,6.297312293972388e-16,1.0
554,-7.790990881124035,-4.250739875612984,True,True,0.36981711502922093,0.00920820762333521
568,28.796445264383753,32.3366962698948,True,False,0.0,1.0
579,31.155273007378113,34.695524012889166,True,True,4.5705667503656913e-11,0.9439262411715249
589,18.43710280541091,21.97735381092196,True,True,0.15264487695194767,0.0
591,14.705487243539244,18.245738249050294,True,True,1.4172111865456789e-15,0.836888857227499
595,-21.182578776634777,-17.642327771123725,True,True,0.0,0.9030304417558273
611,16.66191493801007,20.20216594352112,True,True,0.17193991761623972,0.4418864512009194
618,27.699562726870465,31.239813732381513,True,False,7.123598691719662e-16,0.9999999999999987
627,-9.958913516423067,-6.418662510912016,True,False,0.0,0.9999999999999984
633,8.942421564731974,12.482672570243025,True,False,9.644079427184537e-16,0.9999999999999986
640,34.55316947239986,38.09342047791091,True,True,0.16718527644027123,0.0
646,-8.11455247858629,-4.57430147307524,True,True,3.5118697821833337e-12,5.7947317981493055e-09
650,-6.155067691122795,-2.6148166856117445,True,False,0.9324010543634874,0.06759894563652176
652,-7.001259555623893,-3.461008550112842,True,True,0.0,0.8764602764883549
